# t x y z Vx Vy Vz E_cinetica
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.000000 -0.059061 0.067751 0.035270 -0.024280 0.394482 -0.013748 0.078197
2.000000 -0.364430 0.632415 0.026522 -0.384659 0.139949 -0.077955 0.086813
3.000000 -0.931537 0.579617 -0.090987 -0.973231 -0.061580 -0.041401 0.476342
4.000000 -2.228685 0.517725 -0.057804 -1.573921 -0.407454 0.376353 1.392444
5.000000 -3.806943 0.159355 0.039406 -1.389443 -0.379351 0.163458 1.050589
6.000000 -5.212527 0.315954 0.374997 -1.185909 0.438297 0.004054 0.799251
7.000000 -6.413506 0.677502 0.684879 -1.291992 0.311647 0.527856 1.022499
8.000000 -7.573637 0.964011 1.108490 -1.299075 0.518260 0.263202 1.012732
9.000000 -8.824481 1.097298 1.374903 -0.785316 -0.174675 -0.147418 0.334482
10.000000 -9.602031 0.667737 1.165927 -0.800182 -0.281845 0.316870 0.410067
11.000000 -9.888596 0.311452 1.529793 0.309161 -0.986522 0.300112 0.579436
12.000000 -9.902906 -0.245580 1.849286 -0.073175 -0.233218 0.432073 0.123216
13.000000 -10.259823 -0.677867 2.177541 -1.061970 -0.938004 0.368417 1.071682
14.000000 -11.046156 -1.517894 2.947859 -0.364226 -0.712620 0.775587 0.621011
15.000000 -11.117434 -2.085638 3.686534 -0.248660 -0.821745 1.022472 0.891273
16.000000 -11.898700 -2.693175 4.237934 -1.353434 -0.529491 0.204093 1.076899
17.000000 -13.646140 -3.095887 4.121717 -1.606970 -0.316950 -0.260983 1.375461
18.000000 -15.196916 -3.476253 3.802308 -1.247876 -0.444113 -0.355473 0.940395
19.000000 -15.949838 -3.761664 3.690508 -0.890114 -0.378963 -0.091926 0.472183
20.000000 -17.219168 -4.167683 3.507809 -1.597323 -0.417886 -0.253106 1.395066
21.000000 -19.072490 -4.277951 3.036275 -2.027633 0.140614 -0.468181 2.175131
22.000000 -20.916872 -3.902254 2.714131 -1.939428 0.296787 -0.130325 1.933224
23.000000 -22.396380 -3.478934 2.768508 -0.982626 -0.011450 -0.218356 0.506682
24.000000 -23.356376 -3.472996 2.601656 -1.280056 -0.201085 -0.236483 0.867452
25.000000 -24.530618 -3.362377 2.380889 -1.369379 0.462752 -0.529817 1.185022
26.000000 -25.696690 -2.621322 1.783042 -0.921734 0.992580 -0.421685 1.006313
27.000000 -26.414600 -2.018101 1.025673 -0.423944 0.522730 -0.843850 0.582529
28.000000 -27.077772 -1.356996 0.320487 -0.474837 0.477846 -0.626170 0.422948
29.000000 -27.884137 -0.899345 -0.063944 -0.970320 0.446320 -0.232248 0.597331
30.000000 -28.897793 -0.664051 -0.129046 -1.000645 0.264219 0.310185 0.583659
31.000000 -29.859463 -0.361045 -0.200295 -1.697036 0.075834 0.443410 1.541148
32.000000 -31.192421 -0.474094 0.466077 -1.043097 -0.321236 0.442061 0.693331
33.000000 -32.082823 -0.639398 1.040630 -0.795005 0.689631 0.905140 0.963452
34.000000 -32.978426 -0.564392 1.761653 -1.100222 -0.258509 0.304362 0.684976
35.000000 -34.350400 -0.362482 1.982684 -1.261301 0.305247 0.157588 0.854445
36.000000 -35.329270 -0.458122 1.933243 -0.592910 -0.566087 -0.051582 0.337329
37.000000 -35.887518 -0.835217 1.959851 -0.961858 -0.316061 -0.237939 0.540840
38.000000 -36.619360 -1.047975 1.691242 -0.562815 0.137702 -0.092486 0.172138
39.000000 -37.618695 -1.204591 1.449051 -0.830128 -0.014027 -0.660702 0.562918
40.000000 -38.353827 -1.193050 0.638061 -0.492586 -0.145720 -1.056889 0.690444
41.000000 -39.002598 -1.678437 -0.479933 -0.693662 -0.875446 -1.478718 1.717089
42.000000 -40.005044 -3.099696 -1.458184 -1.296690 -1.796003 -0.557094 2.608694
43.000000 -41.434729 -4.625090 -2.448755 -1.086333 -1.826503 -1.689467 3.685266
44.000000 -42.182107 -6.722321 -3.908023 -0.770549 -2.387107 -1.219890 3.890078
45.000000 -42.849439 -8.980172 -4.609689 -0.620022 -2.066846 -0.539667 2.473760
46.000000 -43.401650 -11.301396 -4.815499 -0.647503 -2.475465 -0.319885 3.324757
47.000000 -44.385215 -14.209465 -5.032212 -1.335281 -3.570126 -0.007557 7.264417
48.000000 -45.977645 -17.354513 -4.616745 -1.942254 -2.477637 1.014732 5.470359
49.000000 -48.005396 -19.610479 -3.889366 -2.236995 -2.162052 0.418286 4.926790
50.000000 -50.099987 -21.526450 -3.559320 -2.111081 -1.618084 0.359474 3.602041
51.000000 -52.349840 -23.124975 -2.882956 -2.327864 -1.712138 0.713787 4.429930
52.000000 -54.655727 -24.618878 -1.818591 -1.951032 -1.172407 1.085421 3.179600
53.000000 -56.345564 -25.364947 -0.919203 -1.320138 -0.122955 0.699271 1.123431
54.000000 -57.738274 -25.911860 -0.193365 -1.359445 -0.725556 1.064292 1.753620
55.000000 -59.104707 -26.316989 0.735316 -1.241084 -0.306668 0.908245 1.229622
56.000000 -59.992239 -26.628219 1.602817 -0.452018 0.015300 0.707068 0.352250
57.000000 -60.126955 -26.643040 2.071732 0.054996 -0.408654 -0.235553 0.112754
58.000000 -59.705118 -27.156698 1.668112 0.966686 -0.756695 -0.561567 0.911214
59.000000 -58.383168 -28.043580 1.197206 1.846697 -1.026081 0.096453 2.236219
60.000000 -56.566042 -28.943687 1.499954 1.947602 -1.012360 0.669254 2.632964
61.000000 -54.481534 -29.463339 2.539140 1.984925 -0.034400 1.238915 2.738011
62.000000 -52.694523 -29.781490 3.439174 1.813089 -0.581475 0.723055 2.074106
63.000000 -51.199503 -30.410362 3.589220 1.265947 -0.495496 -0.142980 0.934290
64.000000 -50.345022 -31.099762 3.703818 0.807559 -0.702558 0.068899 0.575243
65.000000 -49.785564 -31.684064 3.377548 0.472134 -0.474631 -0.443989 0.322656
66.000000 -49.235522 -32.030020 2.928276 0.344990 0.075317 -0.227696 0.088268
67.000000 -48.268328 -32.419780 2.912532 1.023737 -0.351815 0.014587 0.586012
68.000000 -47.199332 -32.788017 3.133119 0.924853 -0.428436 0.200790 0.539613
69.000000 -46.413902 -33.531751 3.031598 0.706196 -1.264291 -0.030948 1.049051
70.000000 -45.652186 -34.538246 2.652166 0.700584 -0.735900 -0.875022 0.899016
71.000000 -45.101184 -35.071714 1.856774 0.250855 -0.000238 -1.155975 0.699604
72.000000 -44.621765 -35.017154 0.364373 0.418696 0.317582 -1.607172 1.429584
73.000000 -44.335578 -35.060800 -1.051049 0.263867 -0.057823 -0.739855 0.310178
74.000000 -43.572900 -35.228850 -1.848535 0.931697 0.174743 -0.728943 0.714976
75.000000 -42.601993 -35.223692 -2.716018 0.901724 -0.056842 -1.265543 1.208969
76.000000 -41.855104 -35.366573 -3.998321 0.641035 -0.321703 -1.314199 1.120770
77.000000 -41.450305 -35.389102 -5.174830 0.304101 0.525583 -1.455513 1.243616
78.000000 -41.063898 -34.743036 -6.809437 0.258693 0.812908 -1.851444 2.077793
79.000000 -40.610339 -33.791745 -8.347304 0.884810 0.782001 -1.254924 1.484624
80.000000 -39.666142 -33.105089 -9.866758 0.879577 0.524497 -1.777563 2.104241
81.000000 -38.688209 -32.789095 -11.315756 1.208002 0.125797 -1.393543 1.708528
82.000000 -37.634213 -33.014712 -13.104310 0.927338 -0.672656 -1.700813 2.102594
83.000000 -36.645842 -33.361199 -14.592200 0.965208 0.004643 -1.156878 1.135008
84.000000 -35.675842 -33.008937 -15.607279 1.009942 0.342115 -0.871944 0.948656
85.000000 -34.848907 -32.871342 -16.682190 0.895181 -0.104121 -1.080924 0.990294
86.000000 -33.908230 -33.344699 -17.751432 0.846389 -0.753240 -1.104651 1.251999
87.000000 -33.164669 -34.079079 -18.627554 0.468409 -0.473501 -0.528006 0.361200
88.000000 -32.624229 -34.160176 -18.956284 0.833817 0.060104 -0.764203 0.641435
89.000000 -31.381892 -34.222908 -20.213217 1.304499 0.029434 -1.333821 1.740831
90.000000 -30.041892 -34.207688 -21.409595 1.682284 0.024188 -1.021275 1.936833
91.000000 -28.352488 -34.202934 -22.549155 1.694306 -0.125650 -1.449134 2.493226
92.000000 -26.920303 -34.516876 -23.990611 1.214321 -0.197931 -1.535732 1.936113
93.000000 -25.822880 -34.514102 -26.200507 1.058644 0.191009 -2.659832 4.115959
94.000000 -24.474426 -34.521900 -28.803540 1.444378 -0.005815 -2.393127 3.906659
95.000000 -23.080858 -33.976787 -30.960006 1.486396 1.042361 -2.105410 3.864322
96.000000 -21.510499 -33.261325 -32.896290 1.412431 0.838304 -1.696130 2.787285
97.000000 -20.482362 -32.768102 -35.094406 0.992736 0.289841 -2.293544 3.164939
98.000000 -19.620034 -32.800361 -37.544190 0.522461 -0.082271 -2.466296 3.181175
99.000000 -18.876383 -32.466202 -39.948289 0.894574 0.347555 -2.604905 3.853293
100.000000 -17.951219 -32.326553 -42.623333 0.766334 0.511920 -2.593082 3.786703
