# Tiempo	MSD_x	MSD_y	MSD_z	MSD_total
# Col 1: tiempo, Col 2: MSD_x, Col 3: MSD_y, Col 4: MSD_z, Col 5: MSD_total
0.000000	0.000000	0.000000	0.000000	0.000000
1.000000	0.003488	0.004590	0.001244	0.009322
2.000000	0.132809	0.399949	0.000703	0.533461
3.000000	0.867761	0.335956	0.008279	1.211996
4.000000	4.967037	0.268039	0.003341	5.238417
5.000000	14.492815	0.025394	0.001553	14.519762
6.000000	27.170438	0.099827	0.140623	27.410887
7.000000	41.133059	0.459009	0.469059	42.061127
8.000000	57.359977	0.929317	1.228750	59.518045
9.000000	77.871465	1.204063	1.890358	80.965886
10.000000	92.198999	0.445873	1.359386	94.004258
11.000000	97.784331	0.097002	2.340267	100.221600
12.000000	98.067547	0.060310	3.419859	101.547715
13.000000	105.263968	0.459504	4.741685	110.465156
14.000000	122.017562	2.304002	8.689873	133.011437
15.000000	123.597339	4.349886	13.590533	141.537758
16.000000	141.579062	7.253192	17.960085	166.792338
17.000000	186.217137	9.584516	16.988551	212.790204
18.000000	230.946256	12.084335	14.457546	257.488137
19.000000	254.397332	14.150116	13.619849	282.167298
20.000000	296.499747	17.369582	12.304724	326.174052
21.000000	363.759875	18.300865	9.218966	391.279705
22.000000	437.515534	15.227586	7.366507	460.109628
23.000000	501.597837	12.102982	7.664637	521.365455
24.000000	545.520300	12.061701	6.768614	564.350615
25.000000	601.751219	11.305579	5.668632	618.725431
26.000000	660.319877	6.871329	3.179239	670.370445
27.000000	697.731093	4.072732	1.052005	702.855830
28.000000	733.205736	1.841438	0.102712	735.149887
29.000000	777.525096	0.808821	0.004089	778.338006
30.000000	835.082440	0.440964	0.016653	835.540057
31.000000	891.587531	0.130353	0.040118	891.758002
32.000000	972.967128	0.224765	0.217228	973.409121
33.000000	1029.307532	0.408830	1.082911	1030.799272
34.000000	1087.576581	0.318538	3.103421	1090.998541
35.000000	1179.949980	0.131393	3.931036	1184.012409
36.000000	1248.157319	0.209876	3.737428	1252.104623
37.000000	1287.913948	0.697587	3.841016	1292.452552
38.000000	1340.977527	1.098252	2.860300	1344.936078
39.000000	1415.166214	1.451039	2.099749	1418.717002
40.000000	1471.016046	1.423368	0.407122	1472.846536
41.000000	1521.202651	2.817151	0.230336	1524.250137
42.000000	1600.403545	9.608115	2.126301	1612.137961
43.000000	1716.836767	21.391458	5.996401	1744.224626
44.000000	1779.330151	45.189600	15.272644	1839.792394
45.000000	1836.074423	80.643489	21.249233	1937.967144
46.000000	1883.703223	127.721552	23.189031	2034.613805
47.000000	1970.047311	201.908896	25.323158	2197.279364
48.000000	2113.943840	301.179121	21.314334	2436.437296
49.000000	2304.518045	384.570887	15.127168	2704.216100
50.000000	2510.008697	463.388050	12.668759	2986.065506
51.000000	2740.505748	534.764469	8.311435	3283.581652
52.000000	2987.248494	606.089154	3.307273	3596.644921
53.000000	3174.822582	643.380536	0.844934	3819.048053
54.000000	3333.708284	671.424489	0.037390	4005.170163
55.000000	3493.366390	692.583910	0.540690	4186.490989
56.000000	3599.068740	709.062047	2.569022	4310.699810
57.000000	3615.250718	709.851580	4.292073	4329.394371
58.000000	3564.701115	737.486246	2.782598	4304.969959
59.000000	3408.594306	786.442379	1.433302	4196.469987
60.000000	3199.717108	837.737017	2.249862	4039.703987
61.000000	2968.237547	868.088345	6.447232	3842.773124
62.000000	2776.712754	886.937147	11.827918	3675.477819
63.000000	2621.389107	924.790117	12.882500	3559.061725
64.000000	2534.621240	967.195196	13.718268	3515.534704
65.000000	2478.602383	1003.879912	11.407830	3493.890125
66.000000	2424.136627	1025.922181	8.574800	3458.633608
67.000000	2329.831488	1051.042135	8.482843	3389.356466
68.000000	2227.776941	1075.054059	9.816435	3312.647435
69.000000	2154.250299	1124.378325	9.190586	3287.819210
70.000000	2084.122087	1192.890437	7.033984	3284.046508
71.000000	2034.116798	1230.025123	3.447610	3267.589531
72.000000	1991.101912	1226.201074	0.132768	3217.435754
73.000000	1965.643477	1229.259697	1.104704	3196.007877
74.000000	1898.597614	1241.071872	3.417082	3143.086568
75.000000	1814.929808	1240.708478	7.376754	3063.015039
76.000000	1751.849731	1250.794486	15.986571	3018.630787
77.000000	1718.127785	1252.388540	26.778866	2997.295190
78.000000	1686.243719	1207.078550	46.368432	2939.690702
79.000000	1649.199634	1141.882030	69.677484	2860.759148
80.000000	1573.402821	1095.946918	97.352913	2766.702652
81.000000	1496.777516	1075.124751	128.046334	2699.948600
82.000000	1416.333988	1089.971208	171.722941	2678.028137
83.000000	1342.917736	1112.969599	212.932301	2668.819635
84.000000	1272.765702	1089.589922	243.587158	2605.942782
85.000000	1214.446319	1080.525125	278.295463	2573.266907
86.000000	1149.768062	1111.868951	315.113338	2576.750351
87.000000	1099.895270	1161.383625	346.985768	2608.264663
88.000000	1064.340318	1166.917624	359.340703	2590.598645
89.000000	984.823145	1171.207432	408.574141	2564.604719
90.000000	902.515275	1170.165918	458.370758	2531.051951
91.000000	803.863576	1169.840694	508.464391	2482.168661
92.000000	724.702714	1191.414729	575.549416	2491.666859
93.000000	666.821131	1191.223237	686.466567	2544.510935
94.000000	598.997528	1191.761580	829.643917	2620.403024
95.000000	532.726006	1154.422055	958.521972	2645.670032
96.000000	462.701567	1106.315741	1082.165896	2651.183204
97.000000	419.527153	1073.748509	1231.617332	2724.892994
98.000000	384.945734	1075.863682	1409.566203	2870.375619
99.000000	356.317835	1054.054272	1595.865794	3006.237901
100.000000	322.246264	1045.006029	1816.748516	3184.000808
